Time_s,Force_Ref_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,k_scalar
0.0011,0.5000,0.792909,0.884711,0.392440,49.3945,42.6270,0.499971
0.0022,0.5000,0.792909,0.884711,0.392440,49.3945,42.6270,0.499941
0.0033,0.5000,0.792909,0.884711,0.392440,49.3945,42.6270,0.499912
0.0045,0.5000,0.792909,0.884711,0.392440,49.3945,42.6270,0.499883
0.0056,0.5000,0.792909,0.884711,0.392440,49.3945,42.6270,0.499854
0.0067,0.5000,0.792909,0.884711,0.392440,49.3945,42.5391,0.499824
0.0078,0.5000,0.792909,0.884711,0.392440,49.3945,42.5391,0.499795
0.0089,0.5000,0.792909,0.884711,0.392440,49.3945,42.5391,0.499766
0.0100,0.5000,0.792909,0.884711,0.392440,49.3945,42.5391,0.499736
0.0111,0.5000,0.792909,0.884711,0.392440,49.3945,42.5391,0.499707
0.0122,0.5000,0.792909,0.884711,0.392440,49.3066,42.5391,0.499678
0.0133,0.5000,0.792909,0.884711,0.392440,49.3066,42.5391,0.499649
0.0145,0.5000,0.792909,0.884711,0.392440,49.3066,42.5391,0.499619
0.0156,0.5000,0.792909,0.884711,0.392440,49.3066,42.5391,0.499590
0.0167,0.5000,0.792909,0.884711,0.392440,49.3066,42.5391,0.499561
0.0178,0.5000,0.792909,0.884711,0.392440,49.3066,42.5391,0.499531
0.0189,0.5000,0.792909,0.884711,0.392440,49.3066,42.5391,0.499502
0.0200,0.5000,0.792909,0.884711,0.392440,49.3066,42.5391,0.499473
0.0211,0.5000,0.792909,0.884711,0.392440,49.3066,42.5391,0.499443
0.0222,0.5000,0.792909,0.884711,0.392440,49.2188,42.4512,0.499414
0.0234,0.5000,0.792909,0.884711,0.392440,49.2188,42.4512,0.499385
0.0245,0.5000,0.792909,0.884711,0.392440,49.2188,42.4512,0.499356
0.0256,0.5000,0.792909,0.884711,0.392440,49.2188,42.4512,0.499326
0.0267,0.5000,0.792909,0.884711,0.392440,49.2188,42.4512,0.499297
0.0278,0.5000,0.792909,0.884711,0.392440,49.1309,42.4512,0.499268
0.0289,0.5000,0.792020,0.884029,0.392697,49.1309,42.4512,0.499239
0.0300,0.5000,0.792020,0.884029,0.392697,49.1309,42.4512,0.499209
0.0311,0.5000,0.792020,0.884029,0.392697,49.1309,42.4512,0.499180
0.0322,0.5000,0.792020,0.884029,0.392697,49.0430,42.4512,0.499151
0.0333,0.5000,0.792020,0.884029,0.392697,49.0430,42.4512,0.499122
0.0345,0.5000,0.792020,0.884029,0.392697,49.0430,42.4512,0.499093
0.0356,0.5000,0.792020,0.884029,0.392697,49.0430,42.4512,0.499063
0.0367,0.5000,0.792020,0.884029,0.392697,49.0430,42.5391,0.499034
0.0378,0.5000,0.792020,0.884029,0.392697,49.0430,42.5391,0.499005
0.0389,0.5000,0.792020,0.884029,0.392697,49.0430,42.4512,0.498976
0.0400,0.5000,0.792020,0.884029,0.392697,49.0430,42.4512,0.498947
0.0411,0.5000,0.792020,0.884029,0.392697,49.0430,42.5391,0.498917
0.0422,0.5000,0.792020,0.884029,0.392697,49.0430,42.4512,0.498888
0.0433,0.5000,0.792020,0.884029,0.392697,49.0430,42.4512,0.498859
0.0445,0.5000,0.792020,0.884029,0.392697,49.0430,42.4512,0.498830
0.0456,0.5000,0.792020,0.884029,0.392697,49.0430,42.4512,0.498800
0.0467,0.5000,0.792020,0.884029,0.392697,49.0430,42.4512,0.498771
0.0478,0.5000,0.792020,0.884029,0.392697,49.0430,42.4512,0.498742
0.0489,0.5000,0.792020,0.884029,0.392697,49.0430,42.4512,0.498713
